ClassName,Time,GroupNo
rentals.tests.apis.v3.test_rentals.TestV3RentalAPIAsDispatcher,440.1220000000001,1
trips.tests.apis.test_scheduled_trip_requests.TestCustomerPackageScheduledTripRequest,28.332,1
vehicle_automation.tests.utils.test_transactional_alerts_jobs_automation.TestTransactionalRulePoorRating,24.967,1
service_regions.tests.test_serviceregions.TestServiceRegionAPI,22.084000000000003,1
trips.tests.utils.test_task_ordering.FifoTaskOrderingTestCase,20.919,1
trips.tests.apis.test_scheduled_trip_requests.TestScheduledTripRequestDriverValidation,19.849000000000004,1
trips.tests.apis.test_scheduled_trip_requests.TestCustomerScheduledTripRequestCreation,18.843999999999998,1
hardware_sdk_mensa.tests.test_webhooks.TestMensaSynthesis,17.741999999999997,1
websockets.tests.apis.test_scheduling.TestScheduledRentalRequestsAsDispatcher,16.858,1
payments.tests.apis.v3.test_business_entity.TestBusinessEntityAPI,16.023000000000003,1
users.tests.apis.test_customers.TestCustomersAPIAsBusinessAdmin,15.325,1
vehicle_lifecycle.tests.test_lifecycle_tasks.TestCreateLifecycleForVehicles,14.654,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,14.070999999999996,1
rentals.tests.tasks.test_scheduling.TestSchedulingTasksConversion,13.396,1
vehicle_lifecycle.tests.test_life_cycle_planned_date_setup.TestLifeCyclePlannedDateTimeSet,13.251,1
vehicle_automation.tests.test_automation_alert_to_job.TestCreateDuplicateJob,12.511,1
users.tests.models.test_carsharing_customers_can_reserve_car.TestBusinessCustomers,12.412999999999998,1
users.tests.apis.v2.test_carsharing_customers.TestTurningCustomerIntoDriver,12.020000000000001,1
payments.tests.commands.test_reconcile_default_stripe_card.TestReconcileDefaultStripeCard,11.454999999999998,1
ops_center.tests.analytics.test_promotion_reports.PromotionReportsTests,11.337,1
hardware_sdk_geotab.tests.test_webhooks.TestGeotabNotificationCallback,11.036999999999999,1
users.tests.apis.test_customers.TestCustomerSearchAsServiceManager,10.925,1
payments.tests.apis.v3.test_subscription.TestBraintreeSubscriptionAPIAsCustomer,10.757,1
service_regions.tests.test_pricingregions.TestPricingRegionAPI,10.480999999999998,1
promotions.tests.serializers.test_payload_validation.MultiTripAwardPayloadValidationTest,10.359000000000002,1
rentals.tests.tasks.test_rentals.TestAutoDecoupleRentalTask,9.83,1
rest_utils.tests.test_authentication.TestJWTAuthentication,9.610000000000001,1
services.tests.utils.test_carsharing_service_utils.TestValidateStationServices,9.430000000000001,1
data_pipeline.tests.models.test_data_pipeline.TestDataPipelineWhenEnabled,9.146,1
trips.tests.apis.test_trips.TestTripActionsAsDispatcherWithExemptions,8.932,1
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalRequestPriceCheck,8.816,1
rentals.tests.models.test_rentals.TestScheduledRentalManualWithValetRequests,8.699000000000002,1
rentals.tests.apis.v2.test_pricing.TestVehicleTypePricingAPI,8.472000000000001,1
trips.tests.apis.test_trips.TestTripFindByDispatchPinAsDriver,8.385,1
users.tests.models.test_customer_history_2.TestCustomerHistoryGeneratedByCustomers,8.224999999999998,1
rentals.tests.apis.v3.test_scheduling.TestSRRPricingSnapshotAsCustomer,8.006,1
users.tests.apis.test_drivers.TestDriverListFilteringAsDispatcher,7.835000000000001,1
websockets.tests.apis.test_notifications.NotificationsTestCaseAsDispatcher,7.630999999999999,1
firebase.tests.test_carsharing_firebase.TestFirebaseTasks,7.496000000000001,1
users.tests.apis.v3.test_customers.TestCustomerAssociateBusinessEntityAPI,7.412,1
vehicles.tests.apis.v3.test_vehicle_type_details.TestVehicleTypeDetailsV3API,7.129999999999999,1
trips.tests.apis.test_scheduled_trip_requests.TestCompareV2V3ListAPIForScheduledTrip,6.758,1
users.tests.views.test_registration.LoginStaffTestCase,6.587999999999999,1
users.tests.apis.v2.test_carsharing_customers.TestCustomerAPIV2DriverLicenseAddress,6.324,1
services.tests.apis.v3.test_carsharing_services.TestCarsharingServicesAPIV3AsServiceManagerInOtherService,6.159,1
payments.tests.tasks.test_payments.TestDebitFailedCustomerIOEvent,6.039,1
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalRequestCancellationFees,5.852,1
activities.tests.apis.test_apis.TestActivityAPIAsDispatcher,5.679,1
django_utils.tests.apis.v3.test_documentation.TestAPIV3DocsRendering,5.473,1
hardware_sdk_geotab.tests.test_interface.TestCancelReservation,5.416,1
rentals.tests.tasks.test_rentals.TestRentalTasks,5.317,1
afm_integration.tests.test_signals.TestTicketUpdateSignal,5.171,1
payments.tests.apis.test_customers_cards.TestAddCard,5.122,1
driver_scheduling.tests.apis.test_slots.TestAssignmentsAsManager,5.053,1
stations.tests.test_apis.StationViewSetTestSelectedCarsharingService,4.791,1
payments.tests.utils.test_carsharing_payment_utils.TestCalculateShortTripFareCallsWithSnapshottedShortTripPricingEnabledFlag,4.688000000000001,1
vehicles.tests.apis.v3.test_registered_hw_devices.TestVehicleCombinations,4.667,1
